40 56
1 2 475
2 3 790
2 22 5643
3 4 -3582
3 18 -531
4 5 -9846
4 2 1340
5 6 -7575
6 7 -4328
6 26 -8789
7 8 -3962
8 9 -2939
9 10 -1551
10 11 -4232
11 12 -5482
11 25 -2387
12 13 7020
13 14 -7681
14 15 4757
14 35 7649
15 16 1497
16 17 -1592
16 2 -5611
17 18 1268
18 19 -2630
19 20 5536
20 21 -8583
21 22 1365
21 35 8198
22 23 1273
22 13 -716
23 24 7095
24 25 4611
25 26 9867
25 25 -1303
26 27 7556
26 4 7962
27 28 4385
28 29 -9678
29 30 -4773
29 29 -8770
30 31 -4451
31 32 -7091
31 12 7240
32 33 -6355
33 34 -8220
34 35 6195
34 16 2754
35 36 5039
36 37 -1817
36 17 6276
37 38 -4940
37 16 -8832
38 39 5229
39 40 -8204
39 39 6827
